gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000185567.7_AHNAK2,1029.497464,-0.418499431,0.078816953,-5.309764144,1.10E-07,1.00E-05
ENSG00000171608.15_PIK3CD,318.0965231,0.65501183,0.123634795,5.297957009,1.17E-07,1.06E-05
ENSG00000109099.15_PMP22,1146.841391,-0.389209936,0.073699857,-5.281013424,1.28E-07,1.15E-05
ENSG00000109320.12_NFKB1,815.9947583,0.633455684,0.120082065,5.275189784,1.33E-07,1.18E-05
ENSG00000166261.11_ZNF202,403.957797,0.520331734,0.098733004,5.270089148,1.36E-07,1.21E-05
ENSG00000173846.13_PLK3,335.7171583,0.734255595,0.139514224,5.262944319,1.42E-07,1.25E-05
ENSG00000131323.14_TRAF3,791.8576025,0.483715275,0.092092454,5.252496302,1.50E-07,1.31E-05
ENSG00000127666.9_TICAM1,296.1979293,0.681060655,0.129815479,5.24637477,1.55E-07,1.33E-05
ENSG00000132481.7_AC087289.1,632.3056413,0.514672699,0.098093087,5.246778505,1.55E-07,1.33E-05
ENSG00000007545.15_CRAMP1,348.5338907,0.664735758,0.127063287,5.231532854,1.68E-07,1.43E-05
ENSG00000184867.14_ARMCX2,447.7735798,-0.489955643,0.093660975,-5.23116106,1.68E-07,1.43E-05
ENSG00000269713.7_NBPF9,1785.446627,0.415014692,0.079454285,5.223314161,1.76E-07,1.48E-05
ENSG00000175505.11_CLCF1,464.6068991,0.592575109,0.113888147,5.203132416,1.96E-07,1.64E-05
ENSG00000275993.2_SIK1B,602.4642248,0.546396936,0.105094821,5.199085261,2.00E-07,1.66E-05
ENSG00000258441.1_LINC00641,91.12455387,1.263295925,0.243295058,5.192443836,2.08E-07,1.71E-05
ENSG00000135365.15_PHF21A,216.2055126,-0.795938582,0.153476438,-5.186063679,2.15E-07,1.76E-05
ENSG00000001167.14_NFYA,1595.064309,0.300955465,0.058204973,5.170614252,2.33E-07,1.90E-05
ENSG00000170345.10_FOS,416.0003589,-0.885654316,0.171472395,-5.164996468,2.40E-07,1.94E-05
ENSG00000185745.10_IFIT1,775.6989084,-0.445940166,0.086403678,-5.161124785,2.45E-07,1.97E-05
ENSG00000168906.13_MAT2A,4157.571993,0.274303425,0.053243932,5.15182508,2.58E-07,2.06E-05
ENSG00000253522.6_MIR3142HG,44.42644586,1.679673368,0.32646788,5.144988128,2.68E-07,2.12E-05
ENSG00000127080.10_IPPK,351.7399861,0.588105273,0.114388327,5.141304955,2.73E-07,2.15E-05
ENSG00000139174.12_PRICKLE1,291.7696902,-0.64153742,0.12484983,-5.138472499,2.77E-07,2.17E-05
